編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLLJMHLGFAO58EA,15,414.93,停車空間、店舖、住宅、樓梯間,鋼筋混凝土造,100年7月11日,四層,一層 二層 三層 四層 陽台 見其他登記事項,全筆移轉
RPQNMLNLLHLGFAO78DA,29,19.58,辦公室,鋼筋混凝土造,86年5月20日,十七層,十六層,全筆移轉
RPQNMLNLLHLGFAO78DA,29,.85,社區健身中心,鋼筋混凝土造,86年5月20日,十七層,四層 陽台 露台 花台,持分移轉
RPQNMLNLLHLGFAO78DA,29,5.03,共有部分,鋼筋混凝土造,86年5月20日,十七層,,持分移轉
RPQNMLNLLHLGFAO78DA,29,.09,共有部分,鋼筋混凝土造,86年5月20日,十七層,,持分移轉
RPQNMLNLLHLGFAO78DA,29,2.01,共有部分,鋼筋混凝土造,86年5月20日,十七層,,持分移轉
RPQNMLNLLHLGFAO78DA,29,.06,共有部分,鋼筋混凝土造,86年5月20日,十七層,,持分移轉
RPPOMLOLLHLGFAO88DA,26,.04,管理室,鋼筋混凝土造,89年4月17日,十四層,一層,持分移轉
RPPOMLOLLHLGFAO88DA,26,49.74,住家用,鋼筋混凝土造,89年4月17日,十四層,五層 陽台,全筆移轉
RPPOMLOLLHLGFAO88DA,26,12.60,共有部分,鋼筋混凝土造,89年4月17日,十四層,,持分移轉
RPPOMLOLLHLGFAO88DA,26,14.15,共有部分,鋼筋混凝土造,89年4月17日,十四層,,持分移轉
RPTOMLNKJHLGFAO88DA,20,19.82,住家用,鋼筋混凝土造,95年2月15日,六層,二層 陽台,全筆移轉
RPTOMLNKJHLGFAO88DA,20,9.29,停車空間、樓梯間、機電空間、機房、水箱,鋼筋混凝土造,95年2月15日,六層,,持分移轉
RPWPMLQJLHLGFAO07DA,3,32.63,共有部分,鋼筋混凝土造,111年9月19日,二十三層,,持分移轉
