鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號,解約情形
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings,termination type
土城區,房地(土地+建物),新北市土城區永寧路55號旁,19.48,住,,,1150308,土地2建物1車位0,七層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,74.95,2,2,1,有,無,17160000,228953,,0.0,0,,RPPNMLMLLHLGFAF67CB,松陽馥麗,D棟5號,
土城區,房地(土地+建物)+車位,新北市土城區永寧路55號旁,27.76,住,,,1150306,土地2建物1車位1,二層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,141.39,3,2,2,有,無,24000000,201926,坡道平面,34.42,2400000,,RPQNMLMLLHLGFAF77CB,松陽馥麗,A棟2號,
土城區,房地(土地+建物),新北市土城區永寧路55號旁,19.48,住,,,1150308,土地2建物1車位0,六層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,74.95,2,2,1,有,無,17090000,228019,,0.0,0,,RPUNMLMLLHLGFAF18CB,松陽馥麗,D棟5號,
板橋區,房地(土地+建物)+車位,新北市板橋區南雅東路100巷旁,8.16,商,,,1150308,土地16建物1車位1,九層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,122.86,2,2,2,有,無,22170000,210747,坡道平面,30.0,2600000,,RPWNMLNLLHLGFAF48CB,新潤世界城,B棟B4-09F號,
板橋區,房地(土地+建物)+車位,新北市板橋區南雅東路100巷旁,7.47,商,,,1150308,土地16建物1車位1,十三層,24,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,112.84,2,2,1,有,無,21110000,212858,坡道平面,27.76,3000000,,RPXNMLNLLHLGFAF58CB,新潤世界城,B棟B8-13F號,
土城區,房地(土地+建物),新北市土城區永寧路55號旁,19.61,住,,,1150308,土地2建物1車位0,三層,11,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,,75.52,2,2,1,有,無,16800000,222458,,0.0,0,,RPPOMLNLLHLGFAF87CB,松陽馥麗,C棟1號,
泰山區,房地(土地+建物),新北市泰山區莊泰路,11.01,商,,,1150302,土地1建物1車位0,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,91.76,2,2,2,有,無,17130000,186683,,0.0,0,,RPUNMLNLLHLGFBF38CB,百達莊園,A6棟17F號,
泰山區,房地(土地+建物)+車位,新北市泰山區莊泰路,14.39,商,,,1150308,土地1建物1車位1,四層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,145.91,3,2,2,有,無,22880000,175949,坡道平面,26.33,1840000,,RPVNMLNLLHLGFBF48CB,百達莊園,A5棟04F號,
泰山區,房地(土地+建物)+車位,新北市泰山區莊泰路,13.74,商,,,1150301,土地1建物1車位1,十八層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,141.93,3,2,2,有,無,22830000,181834,坡道平面,27.32,1990000,,RPOOMLNLLHLGFBF87CB,百達莊園,C5棟18F號,
中和區,房地(土地+建物)+車位,新北市中和區連城路與錦和路交叉路口,11.29,其他,,,1150308,土地13建物1車位1,二十四層,30,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,131.57,3,2,2,有,無,27030000,247041,坡道平面,31.87,2400000,,RPSNMLNLLHLGFHF78CB,大同新紀元,D棟D02-24F號,
