編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPQNMLNKLHLGFAO78CC,29,.87,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQNMLNKLHLGFAO78CC,29,1.07,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQNMLNKLHLGFAO78CC,29,4.96,共有部分,鋼筋混凝土造,86年7月15日,十二層,,
RPQNMLNKLHLGFAO78CC,29,3.10,走廊,鋼筋混凝土造,86年7月15日,十二層,,
RPOOMLLKLHLGFAO48CC,35,18.29,住商用,鋼筋混凝土造,80年8月21日,四層,,
RPPNMLKKLHLGFAO38CC,2,54.27,集合住宅,鋼筋混凝土造,112年11月10日,十五層,,
RPPNMLKKLHLGFAO38CC,2,27.24,共有部分,鋼筋混凝土造,112年11月10日,十五層,,
RPSNMLNKLHLGFAO98CC,,23.14,住家用,加強磚造,,二層,,
RPPOMLLKLHLGFAO58CC,34,18.05,住家用,鋼筋混凝土造,81年1月7日,五層,,
RPOOMLTKLHLGFAO66CC,48,46.44,住家用,鋼筋混凝土造,67年3月1日,四層,,
RPSNMLRLLHLGFAO86CC,18,40.12,集合住宅,鋼筋混凝土造,97年1月31日,十五層,,
RPSNMLRLLHLGFAO86CC,18,48.55,梯間水箱機械室防空避難室兼停車空間及開放空間受電室,鋼筋混凝土造,97年1月31日,十五層,,
RPQNMLOLLHLGFAO98CC,22,16.53,工場〈廠〉、車庫、辦公室、梯間,鋼骨造,93年4月26日,四層,,
RPQNMLQLLHLGFAO56CC,35,30.00,住家用,鋼筋混凝土造,80年5月23日,七層,,
RPSNMLQLLHLGFAO76CC,35,30.00,住家用,鋼筋混凝土造,80年5月23日,七層,,
RPQNMLPLLHLGFAO09CC,15,86.02,集合住宅,鋼筋混凝土造,100年5月1日,十二層,,
RPQNMLPLLHLGFAO09CC,15,16.83,共有部分,鋼筋混凝土造,100年5月1日,十二層,,
RPQNMLPLLHLGFAO09CC,15,17.80,共有部分,鋼筋混凝土造,100年5月1日,十四層,,
RPQNMLPLLHLGFAO09CC,15,.02,守衛室,鋼筋混凝土造,100年5月1日,十四層,,
RPQNMLPLLHLGFAO09CC,15,.00,共有部分,鋼筋混凝土造,100年5月1日,十二層,,
RPQNMLPLLHLGFAO09CC,15,19.92,共有部分,鋼筋混凝土造,100年5月1日,十四層,,
RPWNMLTKLHLGFAO37CC,31,16.53,農舍,鋼筋混凝土造,84年3月24日,三層,,
RPRNMLOLLHLGFAO09CC,22,16.53,工場〈廠〉、車庫、辦公室、梯間,鋼骨造,93年4月26日,四層,,
RPTNMLNKLHLGFAO09CC,,23.14,住家用,加強磚造,,二層,,
RPVNMLRKLHLGFAO07CC,30,90.27,住家用,鋼筋混凝土造,84年12月14日,五層,,
RPVNMLRKLHLGFAO07CC,30,7.67,共有部分,鋼筋混凝土造,84年12月14日,五層,,
RPRNMLQKLHLGFAO56CC,40,19.83,住家用,鋼筋混凝土造,74年9月9日,七層,,
RPVNMLQKLHLGFAO96CC,16,43.47,辦公室,鋼筋混凝土造,99年8月10日,九層,,
RPVNMLQKLHLGFAO96CC,16,11.63,共有部分,鋼筋混凝土造,99年8月10日,九層,,
RPVNMLQKLHLGFAO96CC,16,42.88,共有部分,鋼筋混凝土造,99年8月10日,九層,,
RPQNMLMLLHLGFAO78CC,19,131.11,集合住宅,鋼筋混凝土造,95年11月27日,十三層,,
RPQNMLMLLHLGFAO78CC,19,25.04,樓梯間等共同使用部份,鋼筋混凝土造,95年11月27日,十三層,,
RPQNMLMLLHLGFAO78CC,19,37.07,停車空間等共同使用部份,鋼筋混凝土造,95年11月27日,十三層,,
RPPNMLLJMHLGFAO48CC,,22.84,住家用,鋼筋混凝土造,,九層,,
RPQNMLSLLHLGFAO76CC,31,23.56,住家用,鋼筋混凝土造,83年10月28日,七層,,
RPQNMLSLLHLGFAO76CC,31,8.63,共有部分,鋼筋混凝土造,83年10月28日,七層,,
RPTNMLLMLHLGFAO09CC,,23.75,住家用,鋼筋混凝土造,,九層,,
RPQNMLSLLHLGFAO76CC,31,1.24,梯間,鋼筋混凝土造,83年10月28日,七層,,
RPSNMLOJMHLGFAO09CC,3,76.91,集合住宅,鋼筋混凝土造,112年5月30日,二十九層,,
RPSNMLOJMHLGFAO09CC,3,40.61,共有部分,鋼筋混凝土造,112年5月30日,二十九層,,
