鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
新竹市,房地(土地+建物),新竹市新竹市中山路４０巷２５之１號３樓之１０,7.57,商,,,1141217,土地1建物1車位0,三層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0800603,51.79,1,1,1,有,有,2000000,38617,,0.0,0,,RPPNMLPJJHLGFAO58EA,37.36,0.0,0.0,有,15
新竹市,房地(土地+建物)+車位,新竹市新竹市東大路三段３２６號三樓之２,46.73,住,,,1141212,土地2建物1車位1,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1041207,176.1,3,2,2,有,有,15500000,88018,坡道平面,34.91,0,其他增建；,RPQOMLQLLHLGFAO56DA,87.6,0.0,9.34,有,16
新竹市,房地(土地+建物)+車位,新竹市新竹市埔頂二路１２３號五樓之１５,26.99,住,,,1141230,土地1建物1車位2,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001130,243.23,2,2,2,有,有,36880000,151626,坡道平面,62.94,0,其他增建；,RPVNMLKMLHLGFAO09DA,108.99,8.6,8.43,有,17
新竹市,房地(土地+建物),新竹市新竹市民富街３４號,62.0,住,,,1141214,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,,113.12,3,2,3,有,無,13910000,122967,,0.0,0,,RPSNMLPKKIKGFAO98DA,113.12,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市高峰路１１０巷１９弄２２號二樓之６,30.6,住,,,1141221,土地3建物1車位1,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1130611,91.24000000000001,2,2,1,有,有,13800000,151249,其他,13.0,0,,RPQPMLLJMHLGFAO68DA,49.87,0.0,5.55,有,
新竹市,土地,光華段32-36地號,3.0,都市：其他:道路用地,,,1141121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,253260,84420,,0.0,0,包含公共設施保留地用地；,RPSOMLQLLHLGFAO76DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物),新竹市新竹市西大路２４８號,151.0,商,,,1141120,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,,183.76,3,2,2,有,無,20000000,108838,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPVNMLQJKHLGFAO66DA,183.76,0.0,0.0,無,
新竹市,土地,隆恩段343地號,404.68,,特定農業區,農牧用地,1141002,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,19200000,47445,,0.0,0,,RPWOMLMKLHLGFAO66DA,0.0,0.0,0.0,無,
新竹市,房地(土地+建物)+車位,新竹市新竹市經國路一段６７５號５樓之２,18.57,住,,,1141028,土地2建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0881230,194.09,0,0,0,無,有,10568000,54449,坡道機械,0.0,0,,RPRPMLNLLHLGFAO09DA,104.27,0.0,13.74,有,18
新竹市,房地(土地+建物),新竹市新竹市經國路一段６７５號６樓之３,27.15,住,,,1141028,土地2建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0881230,253.48,0,0,0,無,有,13798000,54434,,0.0,0,,RPSPMLNLLHLGFAO56DA,164.04,0.0,8.94,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市民富街３３３號七樓,37.51,住,,,1131116,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150114,272.67999999999995,3,2,3,有,有,36150000,148524,坡道平面,56.89,4100000,預售屋、或土地及建物分件登記案件；,RPQNMLLMLHLGFAO68DA,128.49,0.0,12.05,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市民富街３３５號六樓,42.93,住,,,1130915,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150114,276.17,3,2,3,有,有,39450000,150673,坡道平面,29.61,2300000,預售屋、或土地及建物分件登記案件；,RPRNMLLMLHLGFAO78DA,148.24,0.0,12.35,有,
新竹市,房地(土地+建物)+車位,新竹市新竹市民富街３３７號十三樓,43.17,住,,,1120810,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1150114,306.82000000000005,4,2,3,有,有,44880000,166721,坡道平面,59.22,3600000,預售屋、或土地及建物分件登記案件；,RPTNMLLMLHLGFAO98DA,149.09,0.0,12.15,有,
