鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
三重區,房地(土地+建物)+車位,新北市三重區中正南路１９７號十三樓,25.22,住,,,1150208,土地2建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010918,221.27,3,2,2,有,有,37880000,179009,坡道平面,21.95,2200000,其他增建；,RPQNMLLJMHLGFGF28EA,121.38,11.85,10.64,有,138
土城區,房地(土地+建物),新北市土城區中央路三段２８１巷１１弄１號七樓,10.3,住,,,1150215,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860813,72.66,2,2,1,有,有,10600000,145885,,0.0,0,其他增建；,RPOQMLRKLHLGFAF28DA,47.31,0.0,9.03,有,139
板橋區,房地(土地+建物)+車位,新北市板橋區民生路二段１２之３號五樓,2.6,住,,,1150209,土地1建物1車位1,五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860815,68.88,1,1,1,有,有,10300000,202597,坡道平面,30.38,2500000,,RPSNMLKMLHLGFAF87DA,22.77,0.0,5.36,有,
板橋區,房地(土地+建物),新北市板橋區大華街１８２巷１１號,33.25,住,,,1150226,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650925,83.46,3,1,1,有,無,12000000,143781,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；其他增建；,RPVNMLRJMHLGFAF68DA,83.46,0.0,0.0,無,
板橋區,土地,江子翠段溪頭小段124-5地號,7.0,住,,,1150212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,2110500,301500,,0.0,0,包含公共設施保留地用地；,RPTOMLRJMHLGFAF58DA,0.0,0.0,0.0,無,140
板橋區,土地,江子翠段溪頭小段118-5地號,2.1,都市：其他:人行步道,,,1150212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,633150,301500,,0.0,0,包含公共設施保留地用地；,RPWOMLRJMHLGFAF88DA,0.0,0.0,0.0,無,141
新莊區,房地(土地+建物),新北市新莊區自強街７０巷５弄９號二樓,16.42,住,,,1150224,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640926,45.0,2,1,1,有,無,4500000,100000,,0.0,0,,RPOOMLOLKHLGFBF87DA,45.0,0.0,0.0,無,
五股區,房地(土地+建物)+車位,新北市五股區芳洲路５３號十四樓,15.95,住,,,1150206,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040824,104.47,2,1,1,有,有,11600000,138622,坡道機械,31.61,1500000,,RPORMLRKLHLGFBF48DA,40.75,4.21,2.98,有,142
林口區,房地(土地+建物)+車位,新北市林口區文化三路二段２７７號五樓,31.58,住,,,1150201,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040519,147.25,2,2,2,有,有,17600000,119525,坡道平面,28.43,0,鐵鋁窗增建其他增建；,RPWOMLSKLHLGFBF09DA,70.79,3.53,6.96,有,143
林口區,房地(土地+建物),新北市林口區文化二路一段２３０巷２２弄１號九樓,14.58,住,,,1150228,土地1建物1車位0,九層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840704,78.07000000000001,3,2,2,有,有,8800000,112719,,0.0,0,夾層；其他增建；,RPPNMLQLLHLGFBF18DA,51.27,0.48,8.45,有,144
泰山區,房地(土地+建物),新北市泰山區明志路三段１４２巷８號七樓之二十六,3.71,商,,,1150226,土地2建物2車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871003,25.91,1,0,1,有,有,3250000,125434,,0.0,0,鐵窗外凸二戶打通其他增建；,RPPOMLKMLHLGFBF77DA,13.58,0.0,0.0,有,145
新莊區,房地(土地+建物),新北市新莊區中義街６號二樓,30.36,住,,,1150225,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750409,104.71,3,2,2,有,無,11000000,105052,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPWQMLMJMHLGFBF68DA,93.93,0.0,10.78,無,
