編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層,移轉情形
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination,
RPWNMLTJKHLGFDH66DA,,85.04,集合住宅,鋼筋混凝土造,115年1月29日,七層,七層 陽台,全筆移轉
RPWNMLTJKHLGFDH66DA,,52.45,本建物共有部分項目：集合住宅（附屬管委會使用空間、車道、梯間）、防空避難室兼停車空間、蓄水池、電信室、台電配電室、垃圾處理室、梯間、停車空間、消防泵浦室、汙、雨水回收機房、發電機室等１２項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPWNMLTJKHLGFDH66DA,,15.70,本建物共有部分項目：集合住宅（附屬梯間）、梯間、機房、水箱等４項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPUPMLTJKHLGFDH66DA,,64.84,集合住宅,鋼筋混凝土造,115年1月29日,七層,七層 陽台,全筆移轉
RPUPMLTJKHLGFDH66DA,,46.13,本建物共有部分項目：集合住宅（附屬管委會使用空間、車道、梯間）、防空避難室兼停車空間、蓄水池、電信室、台電配電室、垃圾處理室、梯間、停車空間、消防泵浦室、汙、雨水回收機房、發電機室等１２項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPUPMLTJKHLGFDH66DA,,9.60,本建物共有部分項目：集合住宅（附屬梯間）、梯間、機房、水箱等４項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPSOMLTJKHLGFDH98DA,,70.69,集合住宅,鋼筋混凝土造,115年1月29日,七層,五層 陽台,全筆移轉
RPWWMLTJKHLGFDH57DA,,64.19,集合住宅,鋼筋混凝土造,115年1月29日,七層,七層 陽台,全筆移轉
RPSOMLTJKHLGFDH98DA,,47.67,本建物共有部分項目：集合住宅（附屬管委會使用空間、車道、梯間）、防空避難室兼停車空間、蓄水池、電信室、台電配電室、垃圾處理室、梯間、停車空間、消防泵浦室、汙、雨水回收機房、發電機室等１２項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPSOMLTJKHLGFDH98DA,,13.05,本建物共有部分項目：集合住宅（附屬梯間）、梯間、機房、水箱等４項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPWWMLTJKHLGFDH57DA,,45.56,本建物共有部分項目：集合住宅（附屬管委會使用空間、車道、梯間）、防空避難室兼停車空間、蓄水池、電信室、台電配電室、垃圾處理室、梯間、停車空間、消防泵浦室、汙、雨水回收機房、發電機室等１２項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPWWMLTJKHLGFDH57DA,,11.85,本建物共有部分項目：集合住宅（附屬梯間）、梯間、機房、水箱等４項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPRVMLTJKHLGFDH96DA,,85.04,集合住宅,鋼筋混凝土造,115年1月29日,七層,三層 陽台,全筆移轉
RPRVMLTJKHLGFDH96DA,,52.45,本建物共有部分項目：集合住宅（附屬管委會使用空間、車道、梯間）、防空避難室兼停車空間、蓄水池、電信室、台電配電室、垃圾處理室、梯間、停車空間、消防泵浦室、汙、雨水回收機房、發電機室等１２項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPRVMLTJKHLGFDH96DA,,15.70,本建物共有部分項目：集合住宅（附屬梯間）、梯間、機房、水箱等４項,鋼筋混凝土造,115年1月29日,七層,,持分移轉
RPUOMLRLLHLGFAH98DA,,54.64,集合住宅,鋼筋混凝土造,114年11月17日,十四層,十四層 陽台,全筆移轉
RPUOMLRLLHLGFAH98DA,,57.38,本共有部分之項目有：停車空間、消防泵浦室、污水機房、雨水回收機房、蓄水池、梯間、電信室、發電機室、機房、防空避難室兼停車空間、垃圾處理室、台電配電場所、集合住宅（附屬車道、管委會使用空間、梯間）、集合住宅（附屬梯間）、機械室、水箱等１６項。,鋼筋混凝土造,114年11月17日,十五層,,持分移轉
RPROMLLMLHLGFDH48DA,,53.05,集合住宅,鋼筋混凝土造,115年1月29日,七層,六層 陽台,全筆移轉
